pt vn ptErr vnErr
------------------------
pion	v2	cent0
0.490000010	0.019190000	0.005007834	0.000060000
0.689999998	0.030420000	0.005015974	0.000080000
0.889999986	0.040449999	0.005035871	0.000110000
1.090000033	0.049559999	0.006040696	0.000140000
1.289999962	0.056990001	0.006053098	0.000190000
1.490000010	0.062739998	0.006067125	0.000260000
1.690000057	0.067630000	0.006082762	0.000350000
1.889999986	0.071999997	0.006100000	0.000500000
2.089999914	0.073299997	0.006100000	0.000600000
2.289999962	0.075700000	0.006100000	0.000900000
2.490000010	0.075199999	0.006100000	0.001300000
2.690000057	0.073500000	0.006100000	0.001800000
2.890000105	0.075300001	0.006100000	0.002600000
3.210000038	0.069399998	0.006082762	0.003300000
3.710000038	0.057500001	0.006053098	0.005000000
------------------------
pion	v3	cent0
0.490000010	0.007860000	0.000602993	0.000100000
0.689999998	0.015650000	0.000909340	0.000140000
0.889999986	0.024690000	0.001315295	0.000190000
1.090000033	0.032970000	0.001620987	0.000250000
1.289999962	0.041350000	0.002027042	0.000340000
1.490000010	0.048900001	0.002433105	0.000500000
1.690000057	0.055900000	0.002729469	0.000600000
1.889999986	0.061000001	0.002942788	0.000800000
2.089999914	0.064800002	0.003140064	0.001100000
2.289999962	0.067500003	0.003238827	0.001600000
2.490000010	0.073200002	0.003551056	0.002200000
2.690000057	0.068899997	0.003354102	0.003200000
2.890000105	0.073500000	0.003551056	0.005000000
3.210000038	0.068499997	0.003354102	0.006000000
3.710000038	0.059900001	0.002942788	0.009000000
------------------------
pion	v4	cent0
0.490000010	0.002630000	0.001301883	0.000250000
0.689999998	0.007770000	0.002508804	0.000330000
0.889999986	0.013700000	0.003522783	0.000500000
1.090000033	0.019900000	0.004031129	0.000600000
1.289999962	0.027500000	0.005063596	0.000800000
1.490000010	0.032600001	0.006067125	0.001100000
1.690000057	0.037099998	0.006082762	0.001500000
1.889999986	0.041200001	0.007085902	0.002000000
2.089999914	0.048500001	0.008104937	0.002700000
2.289999962	0.056400001	0.009124143	0.004000000
2.490000010	0.048500001	0.008104937	0.005000000
2.690000057	0.055399999	0.009124143	0.008000000
