PHOBOS
------------------------
eta	yield	yeilderr
------------------------
cent0
-5.300000191	72.292083740	25.698703766
-5.099999905	88.964233398	30.517726898
-4.900000095	116.828552246	34.265571594
-4.699999809	147.454895020	38.921226501
-4.500000000	173.092544556	43.946399689
-4.300000191	223.513946533	48.745727539
-4.099999905	262.477630615	51.988162994
-3.900000095	297.870361328	55.586177826
-3.700000048	345.325347900	58.902980804
-3.500000000	387.878997803	63.008201599
-3.299999952	420.483612061	71.284461975
-3.099999905	472.000549316	70.815948486
-2.900000095	519.498962402	73.438133240
-2.700000048	546.577636719	77.819541931
-2.500000000	572.937805176	81.891304016
-2.299999952	600.294067383	85.057548523
-2.099999905	617.312805176	88.197685242
-1.899999976	641.832458496	91.514564514
-1.700000048	653.074951172	93.512321472
-1.500000000	652.291442871	93.221862793
-1.299999952	655.508728027	93.151466370
-1.100000024	653.151123047	92.136245728
-0.899999976	652.749633789	90.582534790
-0.699999988	647.516052246	88.648147583
-0.500000000	637.687866211	87.615478516
-0.300000012	649.766052246	85.221755981
-0.100000001	642.598266602	84.392700195
0.100000001	640.510803223	84.542030334
0.300000012	647.693481445	85.051727295
0.500000000	634.537719727	88.415000916
0.699999988	641.307983398	89.404243469
0.899999976	644.122070312	91.252876282
1.100000024	645.974487305	92.651504517
1.299999952	653.934570312	93.056617737
1.500000000	656.526672363	93.752960205
1.700000048	652.849121094	93.460792542
1.899999976	640.414245605	91.253288269
2.099999905	630.086120605	89.463546753
2.299999952	607.745605469	85.480499268
2.500000000	577.862121582	81.435279846
2.700000048	560.939147949	78.564758301
2.900000095	516.956176758	73.502464294
3.099999905	480.390808105	69.498207092
3.299999952	435.675659180	65.991722107
3.500000000	402.111511230	62.893184662
3.700000048	349.748199463	58.710693359
3.900000095	305.843170166	55.429225922
4.099999905	262.543975830	52.000541687
4.300000191	225.120712280	49.291633606
4.500000000	182.782562256	43.742607117
4.699999809	147.906143188	38.973148346
4.900000095	117.969062805	34.275451660
5.099999905	93.337890625	29.795085907
5.300000191	72.882820129	25.623832703
------------------------
cent1
-5.300000191	64.171409607	22.316864014
-5.099999905	78.231521606	25.931083679
-4.900000095	99.883888245	29.234178543
-4.699999809	124.635231018	32.946186066
-4.500000000	146.528350830	36.221958160
-4.300000191	179.477615356	39.474758148
-4.099999905	211.733230591	42.400871277
-3.900000095	236.803802490	45.584388733
-3.700000048	271.680389404	47.908145905
