Transverse Momentum $p_T$ [GeV/c]	$K^{\pm}$ $v_2$ in centrality 0-10%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.51	0.00796	0.00032	-0.00032	0.00013	-0.00013	0.005	-0.005
0.7	0.01913	0.00026	-0.00026	0.0003	-0.0003	0.005	-0.005
0.9	0.03072	0.00027	-0.00027	0.0005	-0.0005	0.005	-0.005
1.1	0.04075	0.00032	-0.00032	0.0006	-0.0006	0.006	-0.006
1.29	0.0492	0.0004	-0.0004	0.0008	-0.0008	0.006	-0.006
1.49	0.0567	0.0005	-0.0005	0.0009	-0.0009	0.006	-0.006
1.7	0.0617	0.0006	-0.0006	0.001	-0.001	0.006	-0.006
1.89	0.0673	0.0007	-0.0007	0.0011	-0.0011	0.006	-0.006
2.09	0.0711	0.0009	-0.0009	0.0011	-0.0011	0.006	-0.006
2.29	0.0727	0.0012	-0.0012	0.0011	-0.0011	0.006	-0.006
2.49	0.0732	0.0015	-0.0015	0.0012	-0.0012	0.006	-0.006
2.69	0.0782	0.002	-0.002	0.0012	-0.0012	0.006	-0.006
2.89	0.0706	0.0027	-0.0027	0.0011	-0.0011	0.006	-0.006
3.21	0.069	0.0032	-0.0032	0.0011	-0.0011	0.006	-0.006
3.71	0.0615	0.006	-0.006	0.001	-0.001	0.006	-0.006
							
Transverse Momentum $p_T$ [GeV/c]	$K^{\pm}$ $v_3$ in centrality 0-10%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.51	0.001499	0.0006	-0.0006	3.30E-05	-3.30E-05	0.0005	-0.0005
0.7	0.00825	0.0005	-0.0005	0.00018	-0.00018	0.0006	-0.0006
0.9	0.016	0.0005	-0.0005	0.0004	-0.0004	0.0009	-0.0009
1.1	0.024	0.0006	-0.0006	0.0005	-0.0005	0.0012	-0.0012
1.29	0.0327	0.0007	-0.0007	0.0007	-0.0007	0.0016	-0.0016
1.49	0.0408	0.0008	-0.0008	0.0009	-0.0009	0.002	-0.002
1.7	0.0476	0.001	-0.001	0.0011	-0.0011	0.0023	-0.0023
1.89	0.0549	0.0013	-0.0013	0.0012	-0.0012	0.0026	-0.0026
2.09	0.0624	0.0016	-0.0016	0.0014	-0.0014	0.003	-0.003
2.29	0.0624	0.002	-0.002	0.0014	-0.0014	0.003	-0.003
2.49	0.0687	0.0027	-0.0027	0.0015	-0.0015	0.0033	-0.0033
2.69	0.0744	0.0035	-0.0035	0.0017	-0.0017	0.004	-0.004
2.89	0.0703	0.005	-0.005	0.0016	-0.0016	0.0034	-0.0034
3.21	0.0676	0.006	-0.006	0.0015	-0.0015	0.0032	-0.0032
3.71	0.0654	0.01	-0.01	0.0015	-0.0015	0.0031	-0.0031
							
Transverse Momentum $p_T$ [GeV/c]	$K^{\pm}$ $v_4$ in centrality 0-10%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.51	-0.00321	0.0014	-0.0014	0.0002	-0.0002	0.0019	-0.0019
0.7	0.00455	0.0011	-0.0011	0.00029	-0.00029	0.002	-0.002
0.9	0.0074	0.0012	-0.0012	0.0005	-0.0005	0.0023	-0.0023
1.1	0.0137	0.0014	-0.0014	0.0009	-0.0009	0.0032	-0.0032
1.29	0.0178	0.0016	-0.0016	0.0011	-0.0011	0.004	-0.004
1.49	0.0269	0.002	-0.002	0.0017	-0.0017	0.005	-0.005
1.7	0.0335	0.0025	-0.0025	0.0021	-0.0021	0.006	-0.006
1.89	0.0376	0.0031	-0.0031	0.0024	-0.0024	0.006	-0.006
2.09	0.0362	0.004	-0.004	0.0023	-0.0023	0.006	-0.006
2.29	0.0467	0.005	-0.005	0.003	-0.003	0.007	-0.007
2.49	0.0535	0.007	-0.007	0.0034	-0.0034	0.008	-0.008
2.69	0.0476	0.009	-0.009	0.003	-0.003	0.008	-0.008
2.89	0.0509	0.011	-0.011	0.0032	-0.0032	0.008	-0.008
3.21	0.067	0.014	-0.014	0.004	-0.004	0.01	-0.01
3.71	0.0412	0.024	-0.024	0.0026	-0.0026	0.006	-0.006

Transverse Momentum $p_T$ [GeV/c]	$K^{\pm}$ $v_2$ in centrality 10-20%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.51	0.02103	0.00029	-0.00029	0.00013	-0.00013	0.005	-0.005
0.7	0.03919	0.00023	-0.00023	0.00025	-0.00025	0.006	-0.006
0.9	0.05798	0.00024	-0.00024	0.0004	-0.0004	0.006	-0.006
1.1	0.07493	0.00028	-0.00028	0.0005	-0.0005	0.006	-0.006
1.3	0.08909	0.00033	-0.00033	0.0006	-0.0006	0.006	-0.006
1.49	0.1022	0.0004	-0.0004	0.0007	-0.0007	0.006	-0.006
1.7	0.1127	0.0005	-0.0005	0.0007	-0.0007	0.006	-0.006
1.89	0.1205	0.0006	-0.0006	0.0008	-0.0008	0.007	-0.007
2.09	0.1266	0.0008	-0.0008	0.0008	-0.0008	0.007	-0.007
2.29	0.1292	0.001	-0.001	0.0008	-0.0008	0.007	-0.007
2.49	0.1316	0.0013	-0.0013	0.0008	-0.0008	0.007	-0.007
2.69	0.1333	0.0017	-0.0017	0.0009	-0.0009	0.007	-0.007
2.89	0.1368	0.0022	-0.0022	0.0009	-0.0009	0.007	-0.007
3.21	0.1284	0.0026	-0.0026	0.0008	-0.0008	0.007	-0.007
3.71	0.1211	0.004	-0.004	0.0008	-0.0008	0.007	-0.007
							
Transverse Momentum $p_T$ [GeV/c]	$K^{\pm}$ $v_3$ in centrality 10-20%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.51	0.00328	0.0007	-0.0007	6.00E-05	-6.00E-05	0.0007	-0.0007
0.7	0.01116	0.0005	-0.0005	0.00019	-0.00019	0.0009	-0.0009
0.9	0.0204	0.0006	-0.0006	0.0004	-0.0004	0.0014	-0.0014
1.1	0.0302	0.0006	-0.0006	0.0005	-0.0005	0.0019	-0.0019
1.3	0.0397	0.0008	-0.0008	0.0007	-0.0007	0.0025	-0.0025
1.49	0.0498	0.0009	-0.0009	0.0009	-0.0009	0.0031	-0.0031
1.7	0.0561	0.0012	-0.0012	0.001	-0.001	0.0035	-0.0035
