Transverse Momentum $p_T$ [GeV/c]	$\pi^{\pm}$ $v_2$ in centrality 0-10%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.49	0.01919	6.00E-05	-6.00E-05	0.00028	-0.00028	0.005	-0.005
0.69	0.03042	8.00E-05	-8.00E-05	0.0004	-0.0004	0.005	-0.005
0.89	0.04045	0.00011	-0.00011	0.0006	-0.0006	0.005	-0.005
1.09	0.04956	0.00014	-0.00014	0.0007	-0.0007	0.006	-0.006
1.29	0.05699	0.00019	-0.00019	0.0008	-0.0008	0.006	-0.006
1.49	0.06274	0.00026	-0.00026	0.0009	-0.0009	0.006	-0.006
1.69	0.06763	0.00035	-0.00035	0.001	-0.001	0.006	-0.006
1.89	0.072	0.0005	-0.0005	0.0011	-0.0011	0.006	-0.006
2.09	0.0733	0.0006	-0.0006	0.0011	-0.0011	0.006	-0.006
2.29	0.0757	0.0009	-0.0009	0.0011	-0.0011	0.006	-0.006
2.49	0.0752	0.0013	-0.0013	0.0011	-0.0011	0.006	-0.006
2.69	0.0735	0.0018	-0.0018	0.0011	-0.0011	0.006	-0.006
2.89	0.0753	0.0026	-0.0026	0.0011	-0.0011	0.006	-0.006
3.21	0.0694	0.0033	-0.0033	0.001	-0.001	0.006	-0.006
3.71	0.0575	0.005	-0.005	0.0008	-0.0008	0.006	-0.006
							
Transverse Momentum $p_T$ [GeV/c]	$\pi^{\pm}$ $v_3$ in centrality 0-10%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.49	0.00786	0.0001	-0.0001	6.00E-05	-6.00E-05	0.0006	-0.0006
0.69	0.01565	0.00014	-0.00014	0.00013	-0.00013	0.0009	-0.0009
0.89	0.02469	0.00019	-0.00019	0.0002	-0.0002	0.0013	-0.0013
1.09	0.03297	0.00025	-0.00025	0.00026	-0.00026	0.0016	-0.0016
1.29	0.04135	0.00034	-0.00034	0.00033	-0.00033	0.002	-0.002
1.49	0.0489	0.0005	-0.0005	0.0004	-0.0004	0.0024	-0.0024
1.69	0.0559	0.0006	-0.0006	0.0004	-0.0004	0.0027	-0.0027
1.89	0.061	0.0008	-0.0008	0.0005	-0.0005	0.0029	-0.0029
2.09	0.0648	0.0011	-0.0011	0.0005	-0.0005	0.0031	-0.0031
2.29	0.0675	0.0016	-0.0016	0.0005	-0.0005	0.0032	-0.0032
2.49	0.0732	0.0022	-0.0022	0.0006	-0.0006	0.0035	-0.0035
2.69	0.0689	0.0032	-0.0032	0.0006	-0.0006	0.0033	-0.0033
2.89	0.0735	0.005	-0.005	0.0006	-0.0006	0.0035	-0.0035
3.21	0.0685	0.006	-0.006	0.0006	-0.0006	0.0033	-0.0033
3.71	0.0599	0.009	-0.009	0.0005	-0.0005	0.0029	-0.0029
							
Transverse Momentum $p_T$ [GeV/c]	$\pi^{\pm}$ $v_4$ in centrality 0-10%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.49	0.00263	0.00025	-0.00025	7.00E-05	-7.00E-05	0.0013	-0.0013
0.69	0.00777	0.00033	-0.00033	0.00021	-0.00021	0.0025	-0.0025
0.89	0.0137	0.0005	-0.0005	0.0004	-0.0004	0.0035	-0.0035
1.09	0.0199	0.0006	-0.0006	0.0005	-0.0005	0.004	-0.004
1.29	0.0275	0.0008	-0.0008	0.0008	-0.0008	0.005	-0.005
1.49	0.0326	0.0011	-0.0011	0.0009	-0.0009	0.006	-0.006
1.69	0.0371	0.0015	-0.0015	0.001	-0.001	0.006	-0.006
1.89	0.0412	0.002	-0.002	0.0011	-0.0011	0.007	-0.007
2.09	0.0485	0.0027	-0.0027	0.0013	-0.0013	0.008	-0.008
2.29	0.0564	0.004	-0.004	0.0015	-0.0015	0.009	-0.009
2.49	0.0485	0.005	-0.005	0.0013	-0.0013	0.008	-0.008
2.69	0.0554	0.008	-0.008	0.0015	-0.0015	0.009	-0.009
2.89	0.0524	0.011	-0.011	0.0014	-0.0014	0.008	-0.008
3.21	0.0593	0.014	-0.014	0.0016	-0.0016	0.009	-0.009
3.71	0.0669	0.023	-0.023	0.0018	-0.0018	0.01	-0.01

Transverse Momentum $p_T$ [GeV/c]	$\pi^{\pm}$ $v_2$ in centrality 10-20%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.49	0.03791	5.00E-05	-5.00E-05	0.0004	-0.0004	0.005	-0.005
0.69	0.05694	7.00E-05	-7.00E-05	0.0005	-0.0005	0.006	-0.006
0.89	0.07435	9.00E-05	-9.00E-05	0.0007	-0.0007	0.006	-0.006
1.09	0.08949	0.00013	-0.00013	0.0008	-0.0008	0.006	-0.006
1.29	0.1023	0.00017	-0.00017	0.001	-0.001	0.006	-0.006
1.49	0.11324	0.00023	-0.00023	0.0011	-0.0011	0.006	-0.006
1.69	0.12155	0.0003	-0.0003	0.0011	-0.0011	0.007	-0.007
1.89	0.1277	0.0004	-0.0004	0.0012	-0.0012	0.007	-0.007
2.09	0.1325	0.0005	-0.0005	0.0012	-0.0012	0.007	-0.007
2.29	0.1347	0.0007	-0.0007	0.0013	-0.0013	0.007	-0.007
2.49	0.1337	0.001	-0.001	0.0013	-0.0013	0.007	-0.007
2.69	0.1359	0.0015	-0.0015	0.0013	-0.0013	0.007	-0.007
2.89	0.136	0.0022	-0.0022	0.0013	-0.0013	0.007	-0.007
3.21	0.131	0.0026	-0.0026	0.0012	-0.0012	0.007	-0.007
3.71	0.1252	0.004	-0.004	0.0012	-0.0012	0.007	-0.007
							
Transverse Momentum $p_T$ [GeV/c]	$\pi^{\pm}$ $v_3$ in centrality 10-20%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.49	0.01098	0.00012	-0.00012	0.0001	-0.0001	0.0008	-0.0008
0.69	0.02034	0.00016	-0.00016	0.00018	-0.00018	0.0013	-0.0013
0.89	0.03072	0.00021	-0.00021	0.00027	-0.00027	0.0019	-0.0019
1.09	0.04068	0.00029	-0.00029	0.0004	-0.0004	0.0025	-0.0025
1.29	0.0504	0.0004	-0.0004	0.0004	-0.0004	0.0031	-0.0031
1.49	0.0599	0.0005	-0.0005	0.0005	-0.0005	0.004	-0.004
1.69	0.0659	0.0007	-0.0007	0.0006	-0.0006	0.004	-0.004
1.89	0.0715	0.0009	-0.0009	0.0006	-0.0006	0.004	-0.004
2.09	0.0788	0.0012	-0.0012	0.0007	-0.0007	0.005	-0.005
2.29	0.0786	0.0017	-0.0017	0.0007	-0.0007	0.005	-0.005
2.49	0.084	0.0024	-0.0024	0.0007	-0.0007	0.005	-0.005
2.69	0.0842	0.0035	-0.0035	0.0007	-0.0007	0.005	-0.005
2.89	0.0862	0.005	-0.005	0.0008	-0.0008	0.005	-0.005
3.21	0.079	0.006	-0.006	0.0007	-0.0007	0.005	-0.005
3.71	0.0568	0.01	-0.01	0.0005	-0.0005	0.0035	-0.0035
							
Transverse Momentum $p_T$ [GeV/c]	$\pi^{\pm}$ $v_4$ in centrality 10-20%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.49	0.00724	0.0003	-0.0003	0.00017	-0.00017	0.005	-0.005
0.69	0.0133	0.0004	-0.0004	0.00031	-0.00031	0.008	-0.008
0.89	0.0214	0.0006	-0.0006	0.0005	-0.0005	0.01	-0.01
1.09	0.0287	0.0007	-0.0007	0.0007	-0.0007	0.012	-0.012
1.29	0.0381	0.001	-0.001	0.0009	-0.0009	0.014	-0.014
1.49	0.0461	0.0013	-0.0013	0.0011	-0.0011	0.015	-0.015
1.69	0.0511	0.0018	-0.0018	0.0012	-0.0012	0.015	-0.015
1.89	0.0591	0.0024	-0.0024	0.0014	-0.0014	0.016	-0.016
2.09	0.0603	0.0032	-0.0032	0.0014	-0.0014	0.015	-0.015
2.29	0.0647	0.004	-0.004	0.0015	-0.0015	0.015	-0.015
2.49	0.0651	0.006	-0.006	0.0015	-0.0015	0.015	-0.015
2.69	0.0669	0.009	-0.009	0.0015	-0.0015	0.015	-0.015
2.89	0.0599	0.013	-0.013	0.0014	-0.0014	0.013	-0.013
3.21	0.0662	0.016	-0.016	0.0015	-0.0015	0.014	-0.014
3.71	0.0358	0.025	-0.025	0.0008	-0.0008	0.007	-0.007

Transverse Momentum $p_T$ [GeV/c]	$\pi^{\pm}$ $v_2$ in centrality 20-30%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.49	0.05365	6.00E-05	-6.00E-05	0.00032	-0.00032	0.0024	-0.0024
0.69	0.07869	8.00E-05	-8.00E-05	0.0005	-0.0005	0.0028	-0.0028
0.89	0.10104	0.0001	-0.0001	0.0006	-0.0006	0.0033	-0.0033
1.09	0.12075	0.00014	-0.00014	0.0007	-0.0007	0.004	-0.004
1.29	0.13691	0.00019	-0.00019	0.0008	-0.0008	0.004	-0.004
1.49	0.14973	0.00025	-0.00025	0.0009	-0.0009	0.005	-0.005
1.69	0.16006	0.00033	-0.00033	0.001	-0.001	0.005	-0.005
1.89	0.1677	0.0004	-0.0004	0.001	-0.001	0.005	-0.005
2.09	0.1714	0.0006	-0.0006	0.001	-0.001	0.005	-0.005
2.29	0.1749	0.0008	-0.0008	0.001	-0.001	0.005	-0.005
2.49	0.1761	0.0011	-0.0011	0.001	-0.001	0.005	-0.005
2.69	0.178	0.0016	-0.0016	0.0011	-0.0011	0.005	-0.005
2.89	0.1721	0.0023	-0.0023	0.001	-0.001	0.005	-0.005
3.21	0.174	0.0028	-0.0028	0.001	-0.001	0.005	-0.005
3.72	0.16	0.004	-0.004	0.001	-0.001	0.005	-0.005
							
Transverse Momentum $p_T$ [GeV/c]	$\pi^{\pm}$ $v_3$ in centrality 20-30%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.49	0.01312	0.00015	-0.00015	0.00012	-0.00012	0.0015	-0.0015
0.69	0.02329	0.00021	-0.00021	0.00022	-0.00022	0.0023	-0.0023
0.89	0.03471	0.00028	-0.00028	0.00033	-0.00033	0.0033	-0.0033
1.09	0.0454	0.0004	-0.0004	0.0004	-0.0004	0.004	-0.004
1.29	0.055	0.0005	-0.0005	0.0005	-0.0005	0.005	-0.005
1.49	0.0643	0.0007	-0.0007	0.0006	-0.0006	0.006	-0.006
1.69	0.0723	0.0009	-0.0009	0.0007	-0.0007	0.007	-0.007
1.89	0.0787	0.0012	-0.0012	0.0007	-0.0007	0.007	-0.007
2.09	0.0829	0.0016	-0.0016	0.0008	-0.0008	0.008	-0.008
2.29	0.0866	0.0022	-0.0022	0.0008	-0.0008	0.008	-0.008
2.49	0.0892	0.0031	-0.0031	0.0008	-0.0008	0.008	-0.008
2.69	0.0941	0.004	-0.004	0.0009	-0.0009	0.009	-0.009
2.89	0.0754	0.006	-0.006	0.0007	-0.0007	0.007	-0.007
3.21	0.0941	0.008	-0.008	0.0009	-0.0009	0.009	-0.009
3.72	0.075	0.012	-0.012	0.0007	-0.0007	0.007	-0.007
							
Transverse Momentum $p_T$ [GeV/c]	$\pi^{\pm}$ $v_4$ in centrality 20-30%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.49	0.011	0.0004	-0.0004	0.0002	-0.0002	0.008	-0.008
0.69	0.01866	0.0005	-0.0005	0.00033	-0.00033	0.012	-0.012
0.89	0.0285	0.0007	-0.0007	0.0005	-0.0005	0.015	-0.015
1.09	0.0389	0.001	-0.001	0.0007	-0.0007	0.018	-0.018
1.29	0.0479	0.0013	-0.0013	0.0009	-0.0009	0.02	-0.02
1.49	0.0571	0.0018	-0.0018	0.001	-0.001	0.022	-0.022
1.69	0.0619	0.0024	-0.0024	0.0011	-0.0011	0.023	-0.023
1.89	0.0712	0.0031	-0.0031	0.0013	-0.0013	0.025	-0.025
2.09	0.0693	0.004	-0.004	0.0012	-0.0012	0.023	-0.023
2.29	0.0715	0.006	-0.006	0.0013	-0.0013	0.023	-0.023
2.49	0.0778	0.008	-0.008	0.0014	-0.0014	0.025	-0.025
2.69	0.0998	0.012	-0.012	0.0018	-0.0018	0.031	-0.031
2.89	0.0869	0.017	-0.017	0.0016	-0.0016	0.027	-0.027
