#: $p_T$			Au+Au $\bar{p}^-/p$ $0-10\%$ centrality				
$p_T$	$p_T$ LOW	$p_T$ HIGH	Ratio of Yields	Stat error +	Stat error -	Sys error +	Sys error -
0.55	0.5	0.6	0.741988	0.0204282	-0.0204282	0.0370994	-0.0370994
0.65	0.6	0.7	0.772682	0.0178809	-0.0178809	0.0386341	-0.0386341
0.75	0.7	0.8	0.774945	0.0164412	-0.0164412	0.03874725	-0.03874725
0.85	0.8	0.9	0.742494	0.01494	-0.01494	0.0371247	-0.0371247
0.95	0.9	1	0.750203	0.0145966	-0.0145966	0.03751015	-0.03751015
1.05	1	1.1	0.731537	0.0127446	-0.0127446	0.03657685	-0.03657685
1.15	1.1	1.2	0.74482	0.0129001	-0.0129001	0.037241	-0.037241
1.25	1.2	1.3	0.71424	0.0120703	-0.0120703	0.035712	-0.035712
1.35	1.3	1.4	0.724457	0.0121626	-0.0121626	0.03622285	-0.03622285
1.45	1.4	1.5	0.717301	0.0120157	-0.0120157	0.03586505	-0.03586505
1.55	1.5	1.6	0.716237	0.0117839	-0.0117839	0.03581185	-0.03581185
1.65	1.6	1.7	0.702044	0.0115027	-0.0115027	0.0351022	-0.0351022
1.75	1.7	1.8	0.710124	0.0115836	-0.0115836	0.0355062	-0.0355062
1.85	1.8	1.9	0.719794	0.011644	-0.011644	0.0359897	-0.0359897
1.95	1.9	2	0.708908	0.011487	-0.011487	0.0354454	-0.0354454
2.1	2	2.2	0.717419	0.00828842	-0.00828842	0.03587095	-0.03587095
2.3	2.2	2.4	0.722518	0.00830264	-0.00830264	0.0361259	-0.0361259
2.5	2.4	2.6	0.723204	0.00838272	-0.00838272	0.0361602	-0.0361602
2.7	2.6	2.8	0.71913	0.00843983	-0.00843983	0.0359565	-0.0359565
2.9	2.8	3	0.732096	0.00883542	-0.00883542	0.0366048	-0.0366048
3.25	3	3.5	0.725332	0.00620347	-0.00620347	0.0362666	-0.0362666
3.75	3.5	4	0.736997	0.00769544	-0.00769544	0.03684985	-0.03684985
4.25	4	4.5	0.751849	0.0111401	-0.0111401	0.03759245	-0.03759245
4.75	4.5	5	0.765351	0.0175152	-0.0175152	0.03826755	-0.03826755
5.25	5	5.5	0.697435	0.0471159	-0.0471159	0.03487175	-0.03487175
5.75	5.5	6	0.638559	0.0679809	-0.0679809	0.03192795	-0.03192795
							
#: $p_T$			Au+Au $\bar{p}^-/p$ $10-20\%$ centrality				
$p_T$	$p_T$ LOW	$p_T$ HIGH	Ratio of Yields	Stat error +	Stat error -	Sys error +	Sys error -
