$N^{raw}_{ch} (|\eta|<0.5)$	$dN_{evt}/dN_{ch}^{raw}/N_{evt}$	stat+	stat-
startDat
2.5	0.05071781	0.00016683	-0.00016683
7.5	0.06254915	0.000185269	-0.000185269
12.5	0.04815124	0.000162554	-0.000162554
17.5	0.03844197	0.000145243	-0.000145243
22.5	0.03195285	0.000132418	-0.000132418
27.5	0.02776304	0.000123432	-0.000123432
32.5	0.02467844	0.000116373	-0.000116373
37.5	0.02215907	0.000110273	-0.000110273
42.5	0.02053912	0.000106166	-0.000106166
47.5	0.01864478	0.000101151	-0.000101151
52.5	0.01734806	9.76E-05	-9.76E-05
57.5	0.01630596	9.46E-05	-9.46E-05
62.5	0.01548116	9.22E-05	-9.22E-05
67.5	0.01467009	8.97E-05	-8.97E-05
72.5	0.01387384	8.73E-05	-8.73E-05
77.5	0.013223	8.52E-05	-8.52E-05
82.5	0.01272473	8.36E-05	-8.36E-05
87.5	0.01206566	8.14E-05	-8.14E-05
92.5	0.01175835	8.03E-05	-8.03E-05
97.5	0.01136105	7.90E-05	-7.90E-05
102.5	0.01084686	7.72E-05	-7.72E-05
107.5	0.01067729	7.65E-05	-7.65E-05
112.5	0.01030962	7.52E-05	-7.52E-05
117.5	0.0100292	7.42E-05	-7.42E-05
122.5	0.009689515	7.29E-05	-7.29E-05
127.5	0.009347087	7.16E-05	-7.16E-05
132.5	0.009062827	7.05E-05	-7.05E-05
137.5	0.008897101	6.99E-05	-6.99E-05
142.5	0.008698997	6.91E-05	-6.91E-05
147.5	0.008486626	6.82E-05	-6.82E-05
152.5	0.008310473	6.75E-05	-6.75E-05
157.5	0.00813432	6.68E-05	-6.68E-05
162.5	0.008015787	6.63E-05	-6.63E-05
167.5	0.007906034	6.59E-05	-6.59E-05
172.5	0.007653603	6.48E-05	-6.48E-05
177.5	0.007496108	6.41E-05	-6.41E-05
182.5	0.007329284	6.34E-05	-6.34E-05
187.5	0.007135022	6.26E-05	-6.26E-05
192.5	0.00708234	6.23E-05	-6.23E-05
197.5	0.007000026	6.20E-05	-6.20E-05
202.5	0.006824422	6.12E-05	-6.12E-05
207.5	0.006732229	6.08E-05	-6.08E-05
212.5	0.006572539	6.01E-05	-6.01E-05
217.5	0.006468823	5.96E-05	-5.96E-05
222.5	0.006476506	5.96E-05	-5.96E-05
227.5	0.00635907	5.91E-05	-5.91E-05
232.5	0.006253159	5.86E-05	-5.86E-05
237.5	0.006163162	5.82E-05	-5.82E-05
242.5	0.006007862	5.74E-05	-5.74E-05
247.5	0.005991947	5.73E-05	-5.73E-05
252.5	0.005952436	5.72E-05	-5.72E-05
257.5	0.005774088	5.63E-05	-5.63E-05
262.5	0.005700005	5.59E-05	-5.59E-05
267.5	0.005627569	5.56E-05	-5.56E-05
272.5	0.005481597	5.48E-05	-5.48E-05
277.5	0.005507938	5.50E-05	-5.50E-05
282.5	0.005354284	5.42E-05	-5.42E-05
287.5	0.005340565	5.41E-05	-5.41E-05
292.5	0.005355931	5.42E-05	-5.42E-05
297.5	0.005192399	5.34E-05	-5.34E-05
302.5	0.005156181	5.32E-05	-5.32E-05
307.5	0.005083195	5.28E-05	-5.28E-05
312.5	0.004998137	5.24E-05	-5.24E-05
317.5	0.005014051	5.25E-05	-5.25E-05
322.5	0.004953138	5.21E-05	-5.21E-05
327.5	0.004937224	5.21E-05	-5.21E-05
332.5	0.004762169	5.11E-05	-5.11E-05
337.5	0.004714426	5.09E-05	-5.09E-05
342.5	0.004635404	5.04E-05	-5.04E-05
347.5	0.004668879	5.06E-05	-5.06E-05
352.5	0.004504799	4.97E-05	-4.97E-05
357.5	0.004554736	5.00E-05	-5.00E-05
362.5	0.004455959	4.94E-05	-4.94E-05
367.5	0.004356084	4.89E-05	-4.89E-05
372.5	0.004380778	4.90E-05	-4.90E-05
377.5	0.004303951	4.86E-05	-4.86E-05
382.5	0.004326999	4.87E-05	-4.87E-05
387.5	0.004272672	4.84E-05	-4.84E-05
392.5	0.004235905	4.82E-05	-4.82E-05
397.5	0.004175541	4.79E-05	-4.79E-05
402.5	0.00409158	4.74E-05	-4.74E-05
407.5	0.004044935	4.71E-05	-4.71E-05
412.5	0.00401585	4.69E-05	-4.69E-05
417.5	0.003956584	4.66E-05	-4.66E-05
422.5	0.003886891	4.62E-05	-4.62E-05
427.5	0.003875367	4.61E-05	-4.61E-05
432.5	0.003815003	4.58E-05	-4.58E-05
437.5	0.003816649	4.58E-05	-4.58E-05
442.5	0.003779882	4.55E-05	-4.55E-05
447.5	0.003704702	4.51E-05	-4.51E-05
452.5	0.003664093	4.48E-05	-4.48E-05
457.5	0.003575193	4.43E-05	-4.43E-05
462.5	0.003587815	4.44E-05	-4.44E-05
467.5	0.003519768	4.39E-05	-4.39E-05
472.5	0.003536231	4.41E-05	-4.41E-05
477.5	0.003461051	4.36E-05	-4.36E-05
482.5	0.003451722	4.35E-05	-4.35E-05
487.5	0.003357334	4.29E-05	-4.29E-05
492.5	0.003374346	4.30E-05	-4.30E-05
497.5	0.003356237	4.29E-05	-4.29E-05
502.5	0.003145512	4.15E-05	-4.15E-05
507.5	0.003161975	4.17E-05	-4.17E-05
512.5	0.003099964	4.12E-05	-4.12E-05
517.5	0.003059905	4.10E-05	-4.10E-05
522.5	0.003071429	4.11E-05	-4.11E-05
527.5	0.00303082	4.08E-05	-4.08E-05
532.5	0.002957835	4.03E-05	-4.03E-05
537.5	0.002901861	3.99E-05	-3.99E-05
542.5	0.002820095	3.93E-05	-3.93E-05
547.5	0.002771804	3.90E-05	-3.90E-05
552.5	0.002657661	3.82E-05	-3.82E-05
557.5	0.002656015	3.82E-05	-3.82E-05
562.5	0.002484801	3.69E-05	-3.69E-05
567.5	0.002420595	3.64E-05	-3.64E-05
572.5	0.00225871	3.52E-05	-3.52E-05
577.5	0.002139628	3.43E-05	-3.43E-05
582.5	0.001988719	3.30E-05	-3.30E-05
587.5	0.001831772	3.17E-05	-3.17E-05
592.5	0.001573853	2.94E-05	-2.94E-05
597.5	0.001390566	2.76E-05	-2.76E-05
602.5	0.001253924	2.62E-05	-2.62E-05
607.5	0.001053077	2.40E-05	-2.40E-05
612.5	0.000915886	2.24E-05	-2.24E-05
617.5	0.00072327	1.99E-05	-1.99E-05
622.5	0.000642602	1.88E-05	-1.88E-05
627.5	0.000500472	1.66E-05	-1.66E-05
632.5	0.000405536	1.49E-05	-1.49E-05
637.5	0.000300722	1.28E-05	-1.28E-05
642.5	0.00021292	1.08E-05	-1.08E-05
647.5	0.000164629	9.50E-06	-9.50E-06
652.5	0.000124569	8.27E-06	-8.27E-06
657.5	7.96E-05	6.61E-06	-6.61E-06
662.5	6.53E-05	5.99E-06	-5.99E-06
667.5	4.12E-05	4.75E-06	-4.75E-06
672.5	2.80E-05	3.92E-06	-3.92E-06
677.5	1.81E-05	3.15E-06	-3.15E-06
682.5	1.32E-05	2.69E-06	-2.69E-06
687.5	4.94E-06	1.65E-06	-1.65E-06
692.5	7.13E-06	1.98E-06	-1.98E-06
