Nch	yield	staterr	syserr
------------------------
2.500000000	0.050717808	0.000166830	-0.000166830
7.500000000	0.062549151	0.000185269	-0.000185269
12.500000000	0.048151240	0.000162554	-0.000162554
17.500000000	0.038441971	0.000145243	-0.000145243
22.500000000	0.031952851	0.000132418	-0.000132418
27.500000000	0.027763041	0.000123432	-0.000123432
32.500000000	0.024678441	0.000116373	-0.000116373
37.500000000	0.022159070	0.000110273	-0.000110273
42.500000000	0.020539120	0.000106166	-0.000106166
47.500000000	0.018644780	0.000101151	-0.000101151
52.500000000	0.017348060	0.000097600	-0.000097600
57.500000000	0.016305961	0.000094600	-0.000094600
62.500000000	0.015481160	0.000092200	-0.000092200
67.500000000	0.014670090	0.000089700	-0.000089700
72.500000000	0.013873840	0.000087300	-0.000087300
77.500000000	0.013223000	0.000085200	-0.000085200
82.500000000	0.012724730	0.000083600	-0.000083600
87.500000000	0.012065660	0.000081400	-0.000081400
92.500000000	0.011758350	0.000080300	-0.000080300
97.500000000	0.011361050	0.000079000	-0.000079000
102.500000000	0.010846860	0.000077200	-0.000077200
107.500000000	0.010677290	0.000076500	-0.000076500
112.500000000	0.010309620	0.000075200	-0.000075200
117.500000000	0.010029200	0.000074200	-0.000074200
122.500000000	0.009689515	0.000072900	-0.000072900
127.500000000	0.009347087	0.000071600	-0.000071600
132.500000000	0.009062827	0.000070500	-0.000070500
137.500000000	0.008897101	0.000069900	-0.000069900
142.500000000	0.008698997	0.000069100	-0.000069100
147.500000000	0.008486626	0.000068200	-0.000068200
152.500000000	0.008310473	0.000067500	-0.000067500
157.500000000	0.008134320	0.000066800	-0.000066800
162.500000000	0.008015787	0.000066300	-0.000066300
167.500000000	0.007906034	0.000065900	-0.000065900
172.500000000	0.007653603	0.000064800	-0.000064800
177.500000000	0.007496108	0.000064100	-0.000064100
182.500000000	0.007329284	0.000063400	-0.000063400
187.500000000	0.007135022	0.000062600	-0.000062600
192.500000000	0.007082340	0.000062300	-0.000062300
197.500000000	0.007000026	0.000062000	-0.000062000
202.500000000	0.006824422	0.000061200	-0.000061200
207.500000000	0.006732229	0.000060800	-0.000060800
212.500000000	0.006572539	0.000060100	-0.000060100
217.500000000	0.006468823	0.000059600	-0.000059600
222.500000000	0.006476506	0.000059600	-0.000059600
227.500000000	0.006359070	0.000059100	-0.000059100
232.500000000	0.006253159	0.000058600	-0.000058600
237.500000000	0.006163162	0.000058200	-0.000058200
242.500000000	0.006007862	0.000057400	-0.000057400
247.500000000	0.005991947	0.000057300	-0.000057300
252.500000000	0.005952436	0.000057200	-0.000057200
257.500000000	0.005774088	0.000056300	-0.000056300
262.500000000	0.005700005	0.000055900	-0.000055900
267.500000000	0.005627569	0.000055600	-0.000055600
272.500000000	0.005481597	0.000054800	-0.000054800
277.500000000	0.005507938	0.000055000	-0.000055000
282.500000000	0.005354284	0.000054200	-0.000054200
287.500000000	0.005340565	0.000054100	-0.000054100
292.500000000	0.005355931	0.000054200	-0.000054200
297.500000000	0.005192399	0.000053400	-0.000053400
302.500000000	0.005156181	0.000053200	-0.000053200
307.500000000	0.005083195	0.000052800	-0.000052800
312.500000000	0.004998137	0.000052400	-0.000052400
317.500000000	0.005014051	0.000052500	-0.000052500
322.500000000	0.004953138	0.000052100	-0.000052100
327.500000000	0.004937224	0.000052100	-0.000052100
332.500000000	0.004762169	0.000051100	-0.000051100
337.500000000	0.004714426	0.000050900	-0.000050900
342.500000000	0.004635404	0.000050400	-0.000050400
347.500000000	0.004668879	0.000050600	-0.000050600
352.500000000	0.004504799	0.000049700	-0.000049700
357.500000000	0.004554736	0.000050000	-0.000050000
362.500000000	0.004455959	0.000049400	-0.000049400
367.500000000	0.004356084	0.000048900	-0.000048900
372.500000000	0.004380778	0.000049000	-0.000049000
377.500000000	0.004303951	0.000048600	-0.000048600
382.500000000	0.004326999	0.000048700	-0.000048700
387.500000000	0.004272672	0.000048400	-0.000048400
392.500000000	0.004235905	0.000048200	-0.000048200
397.500000000	0.004175541	0.000047900	-0.000047900
402.500000000	0.004091580	0.000047400	-0.000047400
407.500000000	0.004044935	0.000047100	-0.000047100
412.500000000	0.004015850	0.000046900	-0.000046900
417.500000000	0.003956584	0.000046600	-0.000046600
422.500000000	0.003886891	0.000046200	-0.000046200
427.500000000	0.003875367	0.000046100	-0.000046100
432.500000000	0.003815003	0.000045800	-0.000045800
437.500000000	0.003816649	0.000045800	-0.000045800
442.500000000	0.003779882	0.000045500	-0.000045500
447.500000000	0.003704702	0.000045100	-0.000045100
452.500000000	0.003664093	0.000044800	-0.000044800
457.500000000	0.003575193	0.000044300	-0.000044300
462.500000000	0.003587815	0.000044400	-0.000044400
467.500000000	0.003519768	0.000043900	-0.000043900
472.500000000	0.003536231	0.000044100	-0.000044100
477.500000000	0.003461051	0.000043600	-0.000043600
482.500000000	0.003451722	0.000043500	-0.000043500
487.500000000	0.003357334	0.000042900	-0.000042900
492.500000000	0.003374346	0.000043000	-0.000043000
497.500000000	0.003356237	0.000042900	-0.000042900
502.500000000	0.003145512	0.000041500	-0.000041500
507.500000000	0.003161975	0.000041700	-0.000041700
512.500000000	0.003099964	0.000041200	-0.000041200
517.500000000	0.003059905	0.000041000	-0.000041000
522.500000000	0.003071429	0.000041100	-0.000041100
527.500000000	0.003030820	0.000040800	-0.000040800
532.500000000	0.002957835	0.000040300	-0.000040300
537.500000000	0.002901861	0.000039900	-0.000039900
542.500000000	0.002820095	0.000039300	-0.000039300
547.500000000	0.002771804	0.000039000	-0.000039000
552.500000000	0.002657661	0.000038200	-0.000038200
557.500000000	0.002656015	0.000038200	-0.000038200
562.500000000	0.002484801	0.000036900	-0.000036900
567.500000000	0.002420595	0.000036400	-0.000036400
572.500000000	0.002258710	0.000035200	-0.000035200
577.500000000	0.002139628	0.000034300	-0.000034300
582.500000000	0.001988719	0.000033000	-0.000033000
587.500000000	0.001831772	0.000031700	-0.000031700
592.500000000	0.001573853	0.000029400	-0.000029400
597.500000000	0.001390566	0.000027600	-0.000027600
602.500000000	0.001253924	0.000026200	-0.000026200
607.500000000	0.001053077	0.000024000	-0.000024000
612.500000000	0.000915886	0.000022400	-0.000022400
617.500000000	0.000723270	0.000019900	-0.000019900
622.500000000	0.000642602	0.000018800	-0.000018800
627.500000000	0.000500472	0.000016600	-0.000016600
632.500000000	0.000405536	0.000014900	-0.000014900
637.500000000	0.000300722	0.000012800	-0.000012800
642.500000000	0.000212920	0.000010800	-0.000010800
647.500000000	0.000164629	0.000009500	-0.000009500
652.500000000	0.000124569	0.000008270	-0.000008270
657.500000000	0.000079600	0.000006610	-0.000006610
662.500000000	0.000065300	0.000005990	-0.000005990
667.500000000	0.000041200	0.000004750	-0.000004750
672.500000000	0.000028000	0.000003920	-0.000003920
677.500000000	0.000018100	0.000003150	-0.000003150
682.500000000	0.000013200	0.000002690	-0.000002690
687.500000000	0.000004940	0.000001650	-0.000001650
692.500000000	0.000007130	0.000001980	-0.000001980
697.500000000	0.000002200	0.000001100	-0.000001100
702.500000000	0.000000000	0.000000000	0.000000000
707.500000000	0.000001650	0.000000950	-0.000000950
712.500000000	0.000001100	0.000000776	-0.000000776
717.500000000	0.000000000	0.000000000	0.000000000
722.500000000	0.000000000	0.000000000	0.000000000
727.500000000	0.000000000	0.000000000	0.000000000
732.500000000	0.000000000	0.000000000	0.000000000
737.500000000	0.000000000	0.000000000	0.000000000
742.500000000	0.000000000	0.000000000	0.000000000
747.500000000	0.000000549	0.000000549	-0.000000549
752.500000000	0.000000000	0.000000000	0.000000000
757.500000000	0.000000000	0.000000000	0.000000000
762.500000000	0.000000549	0.000000549	-0.000000549
767.500000000	0.000000000	0.000000000	0.000000000
772.500000000	0.000000000	0.000000000	0.000000000
777.500000000	0.000000000	0.000000000	0.000000000
782.500000000	0.000000000	0.000000000	0.000000000
787.500000000	0.000000000	0.000000000	0.000000000
792.500000000	0.000000000	0.000000000	0.000000000
797.500000000	0.000000000	0.000000000	0.000000000
802.500000000	0.000000000	0.000000000	0.000000000
807.500000000	0.000000000	0.000000000	0.000000000
812.500000000	0.000000000	0.000000000	0.000000000
