#: $p_T$			Au+Au $K^+/\pi^+$ $0-10\%$ centrality				
$p_T$	$p_T$ LOW	$p_T$ HIGH	Ratio of Yields	Stat error +	Stat error -	Sys error +	Sys error -
0.55	0.5	0.6	0.191815	0.00484756	-0.00484756	0.00959075	-0.00959075
0.65	0.6	0.7	0.236948	0.00539411	-0.00539411	0.0118474	-0.0118474
0.75	0.7	0.8	0.266404	0.00565552	-0.00565552	0.0133202	-0.0133202
0.85	0.8	0.9	0.29377	0.00614046	-0.00614046	0.0146885	-0.0146885
0.95	0.9	1	0.320538	0.00650796	-0.00650796	0.0160269	-0.0160269
1.05	1	1.1	0.355477	0.00679009	-0.00679009	0.01777385	-0.01777385
1.15	1.1	1.2	0.381694	0.00711706	-0.00711706	0.0190847	-0.0190847
1.25	1.2	1.3	0.386554	0.00703461	-0.00703461	0.0193277	-0.0193277
1.35	1.3	1.4	0.414062	0.00745158	-0.00745158	0.0207031	-0.0207031
1.45	1.4	1.5	0.442846	0.00788203	-0.00788203	0.0221423	-0.0221423
1.55	1.5	1.6	0.446113	0.00777156	-0.00777156	0.02230565	-0.02230565
1.65	1.6	1.7	0.453399	0.00782848	-0.00782848	0.02266995	-0.02266995
1.75	1.7	1.8	0.476765	0.00816587	-0.00816587	0.02383825	-0.02383825
1.85	1.8	1.9	0.507954	0.0086104	-0.0086104	0.0253977	-0.0253977
1.95	1.9	2	0.523628	0.00882701	-0.00882701	0.0261814	-0.0261814
2.1	2	2.2	0.542334	0.00652028	-0.00652028	0.0271167	-0.0271167
2.3	2.2	2.4	0.586269	0.00696617	-0.00696617	0.02931345	-0.02931345
2.5	2.4	2.6	0.630011	0.00773304	-0.00773304	0.03150055	-0.03150055
2.7	2.6	2.8	0.628003	0.00819007	-0.00819007	0.03140015	-0.03140015
2.9	2.8	3	0.644347	0.00926561	-0.00926561	0.03221735	-0.03221735
3.25	3	3.5	0.66206	0.00746554	-0.00746554	0.033103	-0.033103
3.75	3.5	4	0.793484	0.0132437	-0.0132437	0.0396742	-0.0396742
							
