#: $p_T$			Au+Au $K^-/K^+$ $0-10\%$ centrality				
$p_T$	$p_T$ LOW	$p_T$ HIGH	Ratio of Yields	Stat error +	Stat error -	Sys error +	Sys error -
0.55	0.5	0.6	0.959355	0.03044	-0.03044	0.04796775	-0.04796775
0.65	0.6	0.7	0.937581	0.026019	-0.026019	0.04687905	-0.04687905
0.75	0.7	0.8	0.97237	0.024924	-0.024924	0.0486185	-0.0486185
0.85	0.8	0.9	0.999473	0.0249246	-0.0249246	0.04997365	-0.04997365
0.95	0.9	1	0.951988	0.0226694	-0.0226694	0.0475994	-0.0475994
1.05	1	1.1	0.942747	0.0208067	-0.0208067	0.04713735	-0.04713735
1.15	1.1	1.2	0.916548	0.01936	-0.01936	0.0458274	-0.0458274
1.25	1.2	1.3	0.959547	0.0196108	-0.0196108	0.04797735	-0.04797735
1.35	1.3	1.4	0.936068	0.018736	-0.018736	0.0468034	-0.0468034
1.45	1.4	1.5	0.911318	0.0178707	-0.0178707	0.0455659	-0.0455659
1.55	1.5	1.6	0.939359	0.0179769	-0.0179769	0.04696795	-0.04696795
1.65	1.6	1.7	0.942102	0.017642	-0.017642	0.0471051	-0.0471051
1.75	1.7	1.8	0.941158	0.0174552	-0.0174552	0.0470579	-0.0470579
1.85	1.8	1.9	0.920199	0.016819	-0.016819	0.04600995	-0.04600995
1.95	1.9	2	0.958812	0.0175039	-0.0175039	0.0479406	-0.0479406
2.1	2	2.2	0.936315	0.0119819	-0.0119819	0.04681575	-0.04681575
2.3	2.2	2.4	0.964677	0.0122427	-0.0122427	0.04823385	-0.04823385
2.5	2.4	2.6	0.920718	0.0120334	-0.0120334	0.0460359	-0.0460359
2.7	2.6	2.8	0.921014	0.0127716	-0.0127716	0.0460507	-0.0460507
2.9	2.8	3	0.919786	0.0140827	-0.0140827	0.0459893	-0.0459893
3.25	3	3.5	0.921749	0.0111763	-0.0111763	0.04608745	-0.04608745
3.75	3.5	4	0.882814	0.0161292	-0.0161292	0.0441407	-0.0441407
							
#: $p_T$			Au+Au $K^-/K^+$ $10-20\%$ centrality				
$p_T$	$p_T$ LOW	$p_T$ HIGH	Ratio of Yields	Stat error +	Stat error -	Sys error +	Sys error -
0.55	0.5	0.6	0.973891	0.0311709	-0.0311709	0.04869455	-0.04869455
0.65	0.6	0.7	0.939594	0.0263043	-0.0263043	0.0469797	-0.0469797
0.75	0.7	0.8	0.980033	0.0253711	-0.0253711	0.04900165	-0.04900165
0.85	0.8	0.9	0.994913	0.0250934	-0.0250934	0.04974565	-0.04974565
0.95	0.9	1	0.94932	0.0229257	-0.0229257	0.047466	-0.047466
1.05	1	1.1	0.943691	0.0208396	-0.0208396	0.04718455	-0.04718455
1.15	1.1	1.2	0.918442	0.0194119	-0.0194119	0.0459221	-0.0459221
1.25	1.2	1.3	0.956535	0.0195601	-0.0195601	0.04782675	-0.04782675
1.35	1.3	1.4	0.936248	0.0187518	-0.0187518	0.0468124	-0.0468124
1.45	1.4	1.5	0.912597	0.0179105	-0.0179105	0.04562985	-0.04562985
1.55	1.5	1.6	0.940656	0.0180224	-0.0180224	0.0470328	-0.0470328
1.65	1.6	1.7	0.941492	0.0176524	-0.0176524	0.0470746	-0.0470746
1.75	1.7	1.8	0.940934	0.0174757	-0.0174757	0.0470467	-0.0470467
1.85	1.8	1.9	0.91681	0.0167921	-0.0167921	0.0458405	-0.0458405
1.95	1.9	2	0.957971	0.0175267	-0.0175267	0.04789855	-0.04789855
2.1	2	2.2	0.93374	0.0119754	-0.0119754	0.046687	-0.046687
2.3	2.2	2.4	0.95708	0.0121979	-0.0121979	0.047854	-0.047854
