#: $p_T$			Au+Au $\pi^-/\pi^+$ $0-10\%$ centrality				
$p_T$	$p_T$ LOW	$p_T$ HIGH	Ratio of Yields	Stat error +	Stat error -	Sys error +	Sys error -
0.55	0.5	0.6	1.02162	0.0180007	-0.0180007	0.051081	-0.051081
0.65	0.6	0.7	1.04052	0.0175879	-0.0175879	0.052026	-0.052026
0.75	0.7	0.8	0.993558	0.0163567	-0.0163567	0.0496779	-0.0496779
0.85	0.8	0.9	0.999795	0.0166752	-0.0166752	0.04998975	-0.04998975
0.95	0.9	1	0.998336	0.0167047	-0.0167047	0.0499168	-0.0499168
1.05	1	1.1	1.0151	0.0166542	-0.0166542	0.050755	-0.050755
1.15	1.1	1.2	1.01312	0.0163831	-0.0163831	0.050656	-0.050656
1.25	1.2	1.3	0.997878	0.0161138	-0.0161138	0.0498939	-0.0498939
1.35	1.3	1.4	1.01162	0.0162943	-0.0162943	0.050581	-0.050581
1.45	1.4	1.5	1.02703	0.0163822	-0.0163822	0.0513515	-0.0513515
1.55	1.5	1.6	1.00144	0.0158948	-0.0158948	0.050072	-0.050072
1.65	1.6	1.7	0.997837	0.0159105	-0.0159105	0.04989185	-0.04989185
1.75	1.7	1.8	0.992581	0.0157156	-0.0157156	0.04962905	-0.04962905
1.85	1.8	1.9	0.997556	0.0156575	-0.0156575	0.0498778	-0.0498778
1.95	1.9	2	0.996646	0.0156166	-0.0156166	0.0498323	-0.0498323
2.1	2	2.2	0.980159	0.01104	-0.01104	0.04900795	-0.04900795
2.3	2.2	2.4	0.993039	0.0111785	-0.0111785	0.04965195	-0.04965195
2.5	2.4	2.6	1.00436	0.0115856	-0.0115856	0.050218	-0.050218
2.7	2.6	2.8	0.981382	0.0120537	-0.0120537	0.0490691	-0.0490691
2.9	2.8	3	0.996589	0.0134353	-0.0134353	0.04982945	-0.04982945
3.25	3	3.5	0.980379	0.0103408	-0.0103408	0.04901895	-0.04901895
3.75	3.5	4	1.01264	0.0156283	-0.0156283	0.050632	-0.050632
4.25	4	4.5	1.05311	0.025687	-0.025687	0.0526555	-0.0526555
4.75	4.5	5	0.896884	0.0341139	-0.0341139	0.0448442	-0.0448442
5.25	5	5.5	0.932289	0.101047	-0.101047	0.04661445	-0.04661445
5.75	5.5	6	0.646106	0.113276	-0.113276	0.0323053	-0.0323053
							
#: $p_T$			Au+Au $\pi^-/\pi^+$ $10-20\%$ centrality				
$p_T$	$p_T$ LOW	$p_T$ HIGH	Ratio of Yields	Stat error +	Stat error -	Sys error +	Sys error -
0.55	0.5	0.6	1.01946	0.0180129	-0.0180129	0.050973	-0.050973
