#: $p_T$			Au+Au $p/\pi^+$ $0-10\%$ centrality				
$p_T$	$p_T$ LOW	$p_T$ HIGH	Ratio of Yields	Stat error +	Stat error -	Sys error +	Sys error -
0.55	0.5	0.6	0.0348363	0.000744257	-0.000744257	0.001741815	-0.001741815
0.65	0.6	0.7	0.0569975	0.0010814	-0.0010814	0.002849875	-0.002849875
0.75	0.7	0.8	0.0867383	0.00156855	-0.00156855	0.004336915	-0.004336915
0.85	0.8	0.9	0.120128	0.00213875	-0.00213875	0.0060064	-0.0060064
0.95	0.9	1	0.156397	0.00273885	-0.00273885	0.00781985	-0.00781985
1.05	1	1.1	0.202404	0.00332417	-0.00332417	0.0101202	-0.0101202
1.15	1.1	1.2	0.256423	0.00417395	-0.00417395	0.01282115	-0.01282115
1.25	1.2	1.3	0.303188	0.0049165	-0.0049165	0.0151594	-0.0151594
1.35	1.3	1.4	0.353144	0.00568633	-0.00568633	0.0176572	-0.0176572
1.45	1.4	1.5	0.420734	0.0067547	-0.0067547	0.0210367	-0.0210367
1.55	1.5	1.6	0.457962	0.00728959	-0.00728959	0.0228981	-0.0228981
1.65	1.6	1.7	0.507772	0.00811835	-0.00811835	0.0253886	-0.0253886
1.75	1.7	1.8	0.551022	0.00875052	-0.00875052	0.0275511	-0.0275511
1.85	1.8	1.9	0.600246	0.00943879	-0.00943879	0.0300123	-0.0300123
1.95	1.9	2	0.646921	0.0101963	-0.0101963	0.03234605	-0.03234605
2.1	2	2.2	0.682455	0.00772152	-0.00772152	0.03412275	-0.03412275
2.3	2.2	2.4	0.726065	0.00816511	-0.00816511	0.03630325	-0.03630325
2.5	2.4	2.6	0.766823	0.00874833	-0.00874833	0.03834115	-0.03834115
2.7	2.6	2.8	0.755392	0.00898989	-0.00898989	0.0377696	-0.0377696
2.9	2.8	3	0.73934	0.00937269	-0.00937269	0.036967	-0.036967
3.25	3	3.5	0.707294	0.00671803	-0.00671803	0.0353647	-0.0353647
3.75	3.5	4	0.668429	0.00861235	-0.00861235	0.03342145	-0.03342145
4.25	4	4.5	0.612709	0.0121777	-0.0121777	0.03063545	-0.03063545
4.75	4.5	5	0.50792	0.0154496	-0.0154496	0.025396	-0.025396
5.25	5	5.5	0.429897	0.0386077	-0.0386077	0.02149485	-0.02149485
5.75	5.5	6	0.38308	0.0511017	-0.0511017	0.019154	-0.019154
							
#: $p_T$			Au+Au $p/\pi^+$ $10-20\%$ centrality				
$p_T$	$p_T$ LOW	$p_T$ HIGH	Ratio of Yields	Stat error +	Stat error -	Sys error +	Sys error -
0.55	0.5	0.6	0.0341019	0.00073886	-0.00073886	0.001705095	-0.001705095
0.65	0.6	0.7	0.0564876	0.00108474	-0.00108474	0.00282438	-0.00282438
0.75	0.7	0.8	0.0865156	0.00158062	-0.00158062	0.00432578	-0.00432578
0.85	0.8	0.9	0.118541	0.00213451	-0.00213451	0.00592705	-0.00592705
0.95	0.9	1	0.153932	0.00272513	-0.00272513	0.0076966	-0.0076966
1.05	1	1.1	0.199431	0.0032765	-0.0032765	0.00997155	-0.00997155
1.15	1.1	1.2	0.250526	0.00407933	-0.00407933	0.0125263	-0.0125263
1.25	1.2	1.3	0.295694	0.00479659	-0.00479659	0.0147847	-0.0147847
1.35	1.3	1.4	0.34278	0.00552193	-0.00552193	0.017139	-0.017139
1.45	1.4	1.5	0.405318	0.00651087	-0.00651087	0.0202659	-0.0202659
1.55	1.5	1.6	0.440507	0.00701608	-0.00701608	0.02202535	-0.02202535
1.65	1.6	1.7	0.484525	0.007752	-0.007752	0.02422625	-0.02422625
1.75	1.7	1.8	0.524213	0.00833251	-0.00833251	0.02621065	-0.02621065
1.85	1.8	1.9	0.567575	0.00893446	-0.00893446	0.02837875	-0.02837875
1.95	1.9	2	0.610253	0.00963089	-0.00963089	0.03051265	-0.03051265
2.1	2	2.2	0.635891	0.00720116	-0.00720116	0.03179455	-0.03179455
2.3	2.2	2.4	0.675582	0.00761291	-0.00761291	0.0337791	-0.0337791
2.5	2.4	2.6	0.7109	0.00814017	-0.00814017	0.035545	-0.035545
2.7	2.6	2.8	0.709227	0.00848626	-0.00848626	0.03546135	-0.03546135
2.9	2.8	3	0.684986	0.008746	-0.008746	0.0342493	-0.0342493
3.25	3	3.5	0.663596	0.00637174	-0.00637174	0.0331798	-0.0331798
3.75	3.5	4	0.638355	0.00839368	-0.00839368	0.03191775	-0.03191775
4.25	4	4.5	0.591149	0.0119448	-0.0119448	0.02955745	-0.02955745
4.75	4.5	5	0.52844	0.0168527	-0.0168527	0.026422	-0.026422
5.25	5	5.5	0.504591	0.0483179	-0.0483179	0.02522955	-0.02522955
5.75	5.5	6	0.429804	0.0604869	-0.0604869	0.0214902	-0.0214902
							
#: $p_T$			Au+Au $p/\pi^+$ $20-40\%$ centrality				
$p_T$	$p_T$ LOW	$p_T$ HIGH	Ratio of Yields	Stat error +	Stat error -	Sys error +	Sys error -
0.55	0.5	0.6	0.0355454	0.000572424	-0.000572424	0.00177727	-0.00177727
0.65	0.6	0.7	0.0598437	0.000847628	-0.000847628	0.002992185	-0.002992185
0.75	0.7	0.8	0.090529	0.00122134	-0.00122134	0.00452645	-0.00452645
0.85	0.8	0.9	0.122727	0.00163206	-0.00163206	0.00613635	-0.00613635
0.95	0.9	1	0.157599	0.00206711	-0.00206711	0.00787995	-0.00787995
1.05	1	1.1	0.200704	0.0023843	-0.0023843	0.0100352	-0.0100352
1.15	1.1	1.2	0.24924	0.00293634	-0.00293634	0.012462	-0.012462
1.25	1.2	1.3	0.290006	0.0034066	-0.0034066	0.0145003	-0.0145003
1.35	1.3	1.4	0.331682	0.0038704	-0.0038704	0.0165841	-0.0165841
1.45	1.4	1.5	0.388851	0.00452799	-0.00452799	0.01944255	-0.01944255
1.55	1.5	1.6	0.417273	0.00482102	-0.00482102	0.02086365	-0.02086365
1.65	1.6	1.7	0.454968	0.00528119	-0.00528119	0.0227484	-0.0227484
1.75	1.7	1.8	0.488476	0.00563828	-0.00563828	0.0244238	-0.0244238
1.85	1.8	1.9	0.524293	0.00599803	-0.00599803	0.02621465	-0.02621465
1.95	1.9	2	0.558706	0.00641429	-0.00641429	0.0279353	-0.0279353
2.1	2	2.2	0.58142	0.00479249	-0.00479249	0.029071	-0.029071
