Transverse Momentum $p_T$ [GeV/c]	$p\bar{p}$ $v_2$ in centrality 0-10%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.52	0.000728	0.0004	-0.0004	6.00E-06	-6.00E-06	0.005	-0.005
0.7	0.00566	0.0003	-0.0003	5.00E-05	-5.00E-05	0.005	-0.005
0.9	0.01363	0.00027	-0.00027	0.00011	-0.00011	0.005	-0.005
1.1	0.02503	0.00027	-0.00027	0.0002	-0.0002	0.005	-0.005
1.3	0.03708	0.00031	-0.00031	0.0003	-0.0003	0.005	-0.005
1.5	0.0489	0.0004	-0.0004	0.0004	-0.0004	0.006	-0.006
1.69	0.0608	0.0004	-0.0004	0.0005	-0.0005	0.006	-0.006
1.89	0.0697	0.0005	-0.0005	0.0006	-0.0006	0.006	-0.006
2.09	0.0773	0.0007	-0.0007	0.0006	-0.0006	0.006	-0.006
2.29	0.0843	0.0009	-0.0009	0.0007	-0.0007	0.006	-0.006
2.49	0.0917	0.0011	-0.0011	0.0007	-0.0007	0.007	-0.007
2.69	0.0955	0.0014	-0.0014	0.0008	-0.0008	0.007	-0.007
2.89	0.0988	0.0018	-0.0018	0.0008	-0.0008	0.007	-0.007
3.2	0.0941	0.0027	-0.0027	0.0008	-0.0008	0.007	-0.007
3.7	0.1076	0.005	-0.005	0.0009	-0.0009	0.007	-0.007
							
Transverse Momentum $p_T$ [GeV/c]	$p\bar{p}$ $v_3$ in centrality 0-10%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.52	-0.002139	0.0007	-0.0007	2.20E-05	-2.20E-05	0.0012	-0.0012
0.7	-0.000613	0.0005	-0.0005	6.00E-06	-6.00E-06	0.0012	-0.0012
0.9	0.00583	0.0005	-0.0005	6.00E-05	-6.00E-05	0.0012	-0.0012
1.1	0.01445	0.0005	-0.0005	0.00015	-0.00015	0.0014	-0.0014
1.3	0.02377	0.0005	-0.0005	0.00025	-0.00025	0.0016	-0.0016
1.5	0.0362	0.0006	-0.0006	0.0004	-0.0004	0.0021	-0.0021
1.69	0.0471	0.0008	-0.0008	0.0005	-0.0005	0.0025	-0.0025
1.89	0.059	0.001	-0.001	0.0006	-0.0006	0.003	-0.003
2.09	0.067	0.0012	-0.0012	0.0007	-0.0007	0.0034	-0.0034
2.29	0.0764	0.0015	-0.0015	0.0008	-0.0008	0.004	-0.004
2.49	0.0861	0.002	-0.002	0.0009	-0.0009	0.004	-0.004
2.69	0.0873	0.0025	-0.0025	0.0009	-0.0009	0.004	-0.004
2.89	0.0943	0.0032	-0.0032	0.001	-0.001	0.005	-0.005
3.2	0.1046	0.005	-0.005	0.0011	-0.0011	0.005	-0.005
3.7	0.1066	0.009	-0.009	0.0011	-0.0011	0.005	-0.005
							
Transverse Momentum $p_T$ [GeV/c]	$p\bar{p}$ $v_4$ in centrality 0-10%	stat +	stat -	pT uncor. sys +	pT uncor. sys -	pT cor. sys +	pT cor. sys -
0.52	0.000489	0.0018	-0.0018	2.60E-05	-2.60E-05	0.0012	-0.0012
0.7	-0.00201	0.0013	-0.0013	0.00011	-0.00011	0.0014	-0.0014
0.9	0.00169	0.0011	-0.0011	9.00E-05	-9.00E-05	0.0013	-0.0013
1.1	0.0075	0.0012	-0.0012	0.0004	-0.0004	0.002	-0.002
1.3	0.0155	0.0013	-0.0013	0.0008	-0.0008	0.0032	-0.0032
1.5	0.0241	0.0015	-0.0015	0.0013	-0.0013	0.004	-0.004
1.69	0.0347	0.0019	-0.0019	0.0018	-0.0018	0.006	-0.006
1.89	0.0419	0.0023	-0.0023	0.0022	-0.0022	0.007	-0.007
2.09	0.0483	0.0029	-0.0029	0.0025	-0.0025	0.008	-0.008
2.29	0.0588	0.004	-0.004	0.0031	-0.0031	0.009	-0.009
2.49	0.0672	0.005	-0.005	0.0035	-0.0035	0.011	-0.011
2.69	0.068	0.006	-0.006	0.004	-0.004	0.011	-0.011
2.89	0.069	0.008	-0.008	0.004	-0.004	0.011	-0.011
3.2	0.084	0.012	-0.012	0.004	-0.004	0.013	-0.013
